id,left,top,right,bottom,NYECount,Dec1Count
1,846556.9662,6337864.9471,856556.9662,6317864.9471,,
2,846556.9662,6317864.9471,856556.9662,6297864.9471,,
3,846556.9662,6297864.9471,856556.9662,6277864.9471,,
4,846556.9662,6277864.9471,856556.9662,6257864.9471,,
5,846556.9662,6257864.9471,856556.9662,6237864.9471,,
6,846556.9662,6237864.9471,856556.9662,6217864.9471,,
7,846556.9662,6217864.9471,856556.9662,6197864.9471,,
8,846556.9662,6197864.9471,856556.9662,6177864.9471,,
9,846556.9662,6177864.9471,856556.9662,6157864.9471,,
10,846556.9662,6157864.9471,856556.9662,6137864.9471,,
11,846556.9662,6137864.9471,856556.9662,6117864.9471,,
12,846556.9662,6117864.9471,856556.9662,6097864.9471,,
13,846556.9662,6097864.9471,856556.9662,6077864.9471,,
14,846556.9662,6077864.9471,856556.9662,6057864.9471,,
15,846556.9662,6057864.9471,856556.9662,6037864.9471,,
16,846556.9662,6037864.9471,856556.9662,6017864.9471,,
17,846556.9662,6017864.9471,856556.9662,5997864.9471,,
18,846556.9662,5997864.9471,856556.9662,5977864.9471,,
19,846556.9662,5977864.9471,856556.9662,5957864.9471,,
20,846556.9662,5957864.9471,856556.9662,5937864.9471,,
21,846556.9662,5937864.9471,856556.9662,5917864.9471,,
22,846556.9662,5917864.9471,856556.9662,5897864.9471,,
23,846556.9662,5897864.9471,856556.9662,5877864.9471,,
24,846556.9662,5877864.9471,856556.9662,5857864.9471,,
25,846556.9662,5857864.9471,856556.9662,5837864.9471,,
26,846556.9662,5837864.9471,856556.9662,5817864.9471,,
27,846556.9662,5817864.9471,856556.9662,5797864.9471,,
28,846556.9662,5797864.9471,856556.9662,5777864.9471,,
29,846556.9662,5777864.9471,856556.9662,5757864.9471,,
30,846556.9662,5757864.9471,856556.9662,5737864.9471,,
31,846556.9662,5737864.9471,856556.9662,5717864.9471,,
32,846556.9662,5717864.9471,856556.9662,5697864.9471,,
33,846556.9662,5697864.9471,856556.9662,5677864.9471,,
34,846556.9662,5677864.9471,856556.9662,5657864.9471,,
35,846556.9662,5657864.9471,856556.9662,5637864.9471,,
36,846556.9662,5637864.9471,856556.9662,5617864.9471,,
37,846556.9662,5617864.9471,856556.9662,5597864.9471,,
38,846556.9662,5597864.9471,856556.9662,5577864.9471,,
39,846556.9662,5577864.9471,856556.9662,5557864.9471,,
40,846556.9662,5557864.9471,856556.9662,5537864.9471,,
41,846556.9662,5537864.9471,856556.9662,5517864.9471,,
42,846556.9662,5517864.9471,856556.9662,5497864.9471,,
43,846556.9662,5497864.9471,856556.9662,5477864.9471,,
44,846556.9662,5477864.9471,856556.9662,5457864.9471,,
45,846556.9662,5457864.9471,856556.9662,5437864.9471,,
46,846556.9662,5437864.9471,856556.9662,5417864.9471,,
47,846556.9662,5417864.9471,856556.9662,5397864.9471,,
48,846556.9662,5397864.9471,856556.9662,5377864.9471,,
49,846556.9662,5377864.9471,856556.9662,5357864.9471,,
50,846556.9662,5357864.9471,856556.9662,5337864.9471,,
51,846556.9662,5337864.9471,856556.9662,5317864.9471,,
52,846556.9662,5317864.9471,856556.9662,5297864.9471,,
53,846556.9662,5297864.9471,856556.9662,5277864.9471,,
54,846556.9662,5277864.9471,856556.9662,5257864.9471,,
55,846556.9662,5257864.9471,856556.9662,5237864.9471,,
56,846556.9662,5237864.9471,856556.9662,5217864.9471,,
57,846556.9662,5217864.9471,856556.9662,5197864.9471,,
58,846556.9662,5197864.9471,856556.9662,5177864.9471,,
59,846556.9662,5177864.9471,856556.9662,5157864.9471,,
60,846556.9662,5157864.9471,856556.9662,5137864.9471,,
61,846556.9662,5137864.9471,856556.9662,5117864.9471,,
62,846556.9662,5117864.9471,856556.9662,5097864.9471,,
63,846556.9662,5097864.9471,856556.9662,5077864.9471,,
64,846556.9662,5077864.9471,856556.9662,5057864.9471,,
65,846556.9662,5057864.9471,856556.9662,5037864.9471,,
66,846556.9662,5037864.9471,856556.9662,5017864.9471,,
67,846556.9662,5017864.9471,856556.9662,4997864.9471,,
68,846556.9662,4997864.9471,856556.9662,4977864.9471,,
69,846556.9662,4977864.9471,856556.9662,4957864.9471,,
70,846556.9662,4957864.9471,856556.9662,4937864.9471,,
71,846556.9662,4937864.9471,856556.9662,4917864.9471,,
72,846556.9662,4917864.9471,856556.9662,4897864.9471,,
73,846556.9662,4897864.9471,856556.9662,4877864.9471,,
