id,left,top,right,bottom,NYECount,Dec1count
1,846556.9662,6337864.9471,856556.9662,6287864.9471,,
2,846556.9662,6287864.9471,856556.9662,6237864.9471,,
3,846556.9662,6237864.9471,856556.9662,6187864.9471,,
4,846556.9662,6187864.9471,856556.9662,6137864.9471,,
5,846556.9662,6137864.9471,856556.9662,6087864.9471,,
6,846556.9662,6087864.9471,856556.9662,6037864.9471,,
7,846556.9662,6037864.9471,856556.9662,5987864.9471,,
8,846556.9662,5987864.9471,856556.9662,5937864.9471,,
9,846556.9662,5937864.9471,856556.9662,5887864.9471,,
10,846556.9662,5887864.9471,856556.9662,5837864.9471,,
11,846556.9662,5837864.9471,856556.9662,5787864.9471,,
12,846556.9662,5787864.9471,856556.9662,5737864.9471,,
13,846556.9662,5737864.9471,856556.9662,5687864.9471,,
14,846556.9662,5687864.9471,856556.9662,5637864.9471,,
15,846556.9662,5637864.9471,856556.9662,5587864.9471,,
16,846556.9662,5587864.9471,856556.9662,5537864.9471,,
17,846556.9662,5537864.9471,856556.9662,5487864.9471,,
18,846556.9662,5487864.9471,856556.9662,5437864.9471,,
19,846556.9662,5437864.9471,856556.9662,5387864.9471,,
20,846556.9662,5387864.9471,856556.9662,5337864.9471,,
21,846556.9662,5337864.9471,856556.9662,5287864.9471,,
22,846556.9662,5287864.9471,856556.9662,5237864.9471,,
23,846556.9662,5237864.9471,856556.9662,5187864.9471,,
24,846556.9662,5187864.9471,856556.9662,5137864.9471,,
25,846556.9662,5137864.9471,856556.9662,5087864.9471,,
26,846556.9662,5087864.9471,856556.9662,5037864.9471,,
27,846556.9662,5037864.9471,856556.9662,4987864.9471,,
28,846556.9662,4987864.9471,856556.9662,4937864.9471,,
29,846556.9662,4937864.9471,856556.9662,4887864.9471,,
30,846556.9662,4887864.9471,856556.9662,4837864.9471,,
31,846556.9662,4837864.9471,856556.9662,4787864.9471,,
32,846556.9662,4787864.9471,856556.9662,4737864.9471,,
33,846556.9662,4737864.9471,856556.9662,4687864.9471,,
34,846556.9662,4687864.9471,856556.9662,4637864.9471,,
35,856556.9662,6337864.9471,866556.9662,6287864.9471,,
36,856556.9662,6287864.9471,866556.9662,6237864.9471,,
37,856556.9662,6237864.9471,866556.9662,6187864.9471,,
38,856556.9662,6187864.9471,866556.9662,6137864.9471,,
39,856556.9662,6137864.9471,866556.9662,6087864.9471,,
40,856556.9662,6087864.9471,866556.9662,6037864.9471,,
41,856556.9662,6037864.9471,866556.9662,5987864.9471,,
42,856556.9662,5987864.9471,866556.9662,5937864.9471,,
43,856556.9662,5937864.9471,866556.9662,5887864.9471,,
44,856556.9662,5887864.9471,866556.9662,5837864.9471,,
45,856556.9662,5837864.9471,866556.9662,5787864.9471,,
46,856556.9662,5787864.9471,866556.9662,5737864.9471,,
47,856556.9662,5737864.9471,866556.9662,5687864.9471,,
48,856556.9662,5687864.9471,866556.9662,5637864.9471,,
49,856556.9662,5637864.9471,866556.9662,5587864.9471,,
50,856556.9662,5587864.9471,866556.9662,5537864.9471,,
51,856556.9662,5537864.9471,866556.9662,5487864.9471,,
52,856556.9662,5487864.9471,866556.9662,5437864.9471,,
53,856556.9662,5437864.9471,866556.9662,5387864.9471,,
54,856556.9662,5387864.9471,866556.9662,5337864.9471,,
55,856556.9662,5337864.9471,866556.9662,5287864.9471,,
56,856556.9662,5287864.9471,866556.9662,5237864.9471,,
57,856556.9662,5237864.9471,866556.9662,5187864.9471,,
58,856556.9662,5187864.9471,866556.9662,5137864.9471,,
59,856556.9662,5137864.9471,866556.9662,5087864.9471,,
60,856556.9662,5087864.9471,866556.9662,5037864.9471,,
61,856556.9662,5037864.9471,866556.9662,4987864.9471,,
62,856556.9662,4987864.9471,866556.9662,4937864.9471,,
63,856556.9662,4937864.9471,866556.9662,4887864.9471,,
64,856556.9662,4887864.9471,866556.9662,4837864.9471,,
65,856556.9662,4837864.9471,866556.9662,4787864.9471,,
66,856556.9662,4787864.9471,866556.9662,4737864.9471,,
67,856556.9662,4737864.9471,866556.9662,4687864.9471,,
68,856556.9662,4687864.9471,866556.9662,4637864.9471,,
69,866556.9662,6337864.9471,876556.9662,6287864.9471,,
70,866556.9662,6287864.9471,876556.9662,6237864.9471,,
71,866556.9662,6237864.9471,876556.9662,6187864.9471,,
72,866556.9662,6187864.9471,876556.9662,6137864.9471,,
73,866556.9662,6137864.9471,876556.9662,6087864.9471,,
74,866556.9662,6087864.9471,876556.9662,6037864.9471,,
75,866556.9662,6037864.9471,876556.9662,5987864.9471,,
76,866556.9662,5987864.9471,876556.9662,5937864.9471,,
77,866556.9662,5937864.9471,876556.9662,5887864.9471,,
78,866556.9662,5887864.9471,876556.9662,5837864.9471,,
79,866556.9662,5837864.9471,876556.9662,5787864.9471,,
80,866556.9662,5787864.9471,876556.9662,5737864.9471,,
81,866556.9662,5737864.9471,876556.9662,5687864.9471,,
82,866556.9662,5687864.9471,876556.9662,5637864.9471,,
83,866556.9662,5637864.9471,876556.9662,5587864.9471,,
84,866556.9662,5587864.9471,876556.9662,5537864.9471,,
85,866556.9662,5537864.9471,876556.9662,5487864.9471,,
86,866556.9662,5487864.9471,876556.9662,5437864.9471,,
87,866556.9662,5437864.9471,876556.9662,5387864.9471,,
88,866556.9662,5387864.9471,876556.9662,5337864.9471,,
89,866556.9662,5337864.9471,876556.9662,5287864.9471,,
90,866556.9662,5287864.9471,876556.9662,5237864.9471,,
91,866556.9662,5237864.9471,876556.9662,5187864.9471,,
92,866556.9662,5187864.9471,876556.9662,5137864.9471,,
93,866556.9662,5137864.9471,876556.9662,5087864.9471,,
94,866556.9662,5087864.9471,876556.9662,5037864.9471,,
95,866556.9662,5037864.9471,876556.9662,4987864.9471,,
96,866556.9662,4987864.9471,876556.9662,4937864.9471,,
97,866556.9662,4937864.9471,876556.9662,4887864.9471,,
98,866556.9662,4887864.9471,876556.9662,4837864.9471,,
99,866556.9662,4837864.9471,876556.9662,4787864.9471,,
100,866556.9662,4787864.9471,876556.9662,4737864.9471,,
101,866556.9662,4737864.9471,876556.9662,4687864.9471,,
102,866556.9662,4687864.9471,876556.9662,4637864.9471,,
103,876556.9662,6337864.9471,886556.9662,6287864.9471,,
104,876556.9662,6287864.9471,886556.9662,6237864.9471,,
105,876556.9662,6237864.9471,886556.9662,6187864.9471,,
106,876556.9662,6187864.9471,886556.9662,6137864.9471,,
107,876556.9662,6137864.9471,886556.9662,6087864.9471,,
108,876556.9662,6087864.9471,886556.9662,6037864.9471,,
109,876556.9662,6037864.9471,886556.9662,5987864.9471,,
110,876556.9662,5987864.9471,886556.9662,5937864.9471,,
111,876556.9662,5937864.9471,886556.9662,5887864.9471,,
112,876556.9662,5887864.9471,886556.9662,5837864.9471,,
113,876556.9662,5837864.9471,886556.9662,5787864.9471,,
114,876556.9662,5787864.9471,886556.9662,5737864.9471,,
115,876556.9662,5737864.9471,886556.9662,5687864.9471,,
116,876556.9662,5687864.9471,886556.9662,5637864.9471,,
117,876556.9662,5637864.9471,886556.9662,5587864.9471,,
118,876556.9662,5587864.9471,886556.9662,5537864.9471,,
119,876556.9662,5537864.9471,886556.9662,5487864.9471,,
120,876556.9662,5487864.9471,886556.9662,5437864.9471,,
121,876556.9662,5437864.9471,886556.9662,5387864.9471,,
122,876556.9662,5387864.9471,886556.9662,5337864.9471,,
123,876556.9662,5337864.9471,886556.9662,5287864.9471,,
124,876556.9662,5287864.9471,886556.9662,5237864.9471,,
125,876556.9662,5237864.9471,886556.9662,5187864.9471,,
126,876556.9662,5187864.9471,886556.9662,5137864.9471,,
127,876556.9662,5137864.9471,886556.9662,5087864.9471,,
128,876556.9662,5087864.9471,886556.9662,5037864.9471,,
129,876556.9662,5037864.9471,886556.9662,4987864.9471,,
130,876556.9662,4987864.9471,886556.9662,4937864.9471,,
131,876556.9662,4937864.9471,886556.9662,4887864.9471,,
132,876556.9662,4887864.9471,886556.9662,4837864.9471,,
133,876556.9662,4837864.9471,886556.9662,4787864.9471,,
134,876556.9662,4787864.9471,886556.9662,4737864.9471,,
135,876556.9662,4737864.9471,886556.9662,4687864.9471,,
136,876556.9662,4687864.9471,886556.9662,4637864.9471,,
137,886556.9662,6337864.9471,896556.9662,6287864.9471,,
138,886556.9662,6287864.9471,896556.9662,6237864.9471,,
139,886556.9662,6237864.9471,896556.9662,6187864.9471,,
140,886556.9662,6187864.9471,896556.9662,6137864.9471,,
141,886556.9662,6137864.9471,896556.9662,6087864.9471,,
142,886556.9662,6087864.9471,896556.9662,6037864.9471,,
143,886556.9662,6037864.9471,896556.9662,5987864.9471,,
144,886556.9662,5987864.9471,896556.9662,5937864.9471,,
145,886556.9662,5937864.9471,896556.9662,5887864.9471,,
146,886556.9662,5887864.9471,896556.9662,5837864.9471,,
147,886556.9662,5837864.9471,896556.9662,5787864.9471,,
148,886556.9662,5787864.9471,896556.9662,5737864.9471,,
149,886556.9662,5737864.9471,896556.9662,5687864.9471,,
150,886556.9662,5687864.9471,896556.9662,5637864.9471,,
151,886556.9662,5637864.9471,896556.9662,5587864.9471,,
152,886556.9662,5587864.9471,896556.9662,5537864.9471,,
153,886556.9662,5537864.9471,896556.9662,5487864.9471,,
154,886556.9662,5487864.9471,896556.9662,5437864.9471,,
155,886556.9662,5437864.9471,896556.9662,5387864.9471,,
156,886556.9662,5387864.9471,896556.9662,5337864.9471,,
157,886556.9662,5337864.9471,896556.9662,5287864.9471,,
158,886556.9662,5287864.9471,896556.9662,5237864.9471,,
159,886556.9662,5237864.9471,896556.9662,5187864.9471,,
160,886556.9662,5187864.9471,896556.9662,5137864.9471,,
161,886556.9662,5137864.9471,896556.9662,5087864.9471,,
162,886556.9662,5087864.9471,896556.9662,5037864.9471,,
163,886556.9662,5037864.9471,896556.9662,4987864.9471,,
164,886556.9662,4987864.9471,896556.9662,4937864.9471,,
165,886556.9662,4937864.9471,896556.9662,4887864.9471,,
166,886556.9662,4887864.9471,896556.9662,4837864.9471,,
167,886556.9662,4837864.9471,896556.9662,4787864.9471,,
168,886556.9662,4787864.9471,896556.9662,4737864.9471,,
169,886556.9662,4737864.9471,896556.9662,4687864.9471,,
170,886556.9662,4687864.9471,896556.9662,4637864.9471,,
171,896556.9662,6337864.9471,906556.9662,6287864.9471,,
172,896556.9662,6287864.9471,906556.9662,6237864.9471,,
173,896556.9662,6237864.9471,906556.9662,6187864.9471,,
174,896556.9662,6187864.9471,906556.9662,6137864.9471,,
175,896556.9662,6137864.9471,906556.9662,6087864.9471,,
176,896556.9662,6087864.9471,906556.9662,6037864.9471,,
177,896556.9662,6037864.9471,906556.9662,5987864.9471,,
