id,left,top,right,bottom,NYECount,Dec1count
1,1089969.889,6223156.1482,1099969.889,6213156.1482,,
2,1089969.889,6213156.1482,1099969.889,6203156.1482,,
3,1089969.889,6203156.1482,1099969.889,6193156.1482,,
4,1089969.889,6193156.1482,1099969.889,6183156.1482,,
5,1089969.889,6183156.1482,1099969.889,6173156.1482,,
6,1089969.889,6173156.1482,1099969.889,6163156.1482,,
7,1089969.889,6163156.1482,1099969.889,6153156.1482,,
8,1089969.889,6153156.1482,1099969.889,6143156.1482,,
9,1089969.889,6143156.1482,1099969.889,6133156.1482,,
10,1089969.889,6133156.1482,1099969.889,6123156.1482,,
11,1089969.889,6123156.1482,1099969.889,6113156.1482,,
12,1089969.889,6113156.1482,1099969.889,6103156.1482,,
13,1089969.889,6103156.1482,1099969.889,6093156.1482,,
14,1089969.889,6093156.1482,1099969.889,6083156.1482,,
15,1089969.889,6083156.1482,1099969.889,6073156.1482,,
16,1089969.889,6073156.1482,1099969.889,6063156.1482,,
17,1089969.889,6063156.1482,1099969.889,6053156.1482,,
18,1089969.889,6053156.1482,1099969.889,6043156.1482,,
19,1089969.889,6043156.1482,1099969.889,6033156.1482,,
20,1089969.889,6033156.1482,1099969.889,6023156.1482,,
21,1089969.889,6023156.1482,1099969.889,6013156.1482,,
22,1089969.889,6013156.1482,1099969.889,6003156.1482,,
23,1089969.889,6003156.1482,1099969.889,5993156.1482,,
24,1089969.889,5993156.1482,1099969.889,5983156.1482,,
25,1089969.889,5983156.1482,1099969.889,5973156.1482,,
26,1089969.889,5973156.1482,1099969.889,5963156.1482,,
27,1089969.889,5963156.1482,1099969.889,5953156.1482,,
28,1089969.889,5953156.1482,1099969.889,5943156.1482,,
29,1089969.889,5943156.1482,1099969.889,5933156.1482,,
30,1089969.889,5933156.1482,1099969.889,5923156.1482,,
31,1089969.889,5923156.1482,1099969.889,5913156.1482,,
32,1089969.889,5913156.1482,1099969.889,5903156.1482,,
33,1089969.889,5903156.1482,1099969.889,5893156.1482,,
34,1089969.889,5893156.1482,1099969.889,5883156.1482,,
35,1089969.889,5883156.1482,1099969.889,5873156.1482,,
36,1089969.889,5873156.1482,1099969.889,5863156.1482,,
37,1089969.889,5863156.1482,1099969.889,5853156.1482,,
38,1089969.889,5853156.1482,1099969.889,5843156.1482,,
39,1089969.889,5843156.1482,1099969.889,5833156.1482,,
40,1089969.889,5833156.1482,1099969.889,5823156.1482,,
41,1089969.889,5823156.1482,1099969.889,5813156.1482,,
42,1089969.889,5813156.1482,1099969.889,5803156.1482,,
43,1089969.889,5803156.1482,1099969.889,5793156.1482,,
44,1089969.889,5793156.1482,1099969.889,5783156.1482,,
45,1089969.889,5783156.1482,1099969.889,5773156.1482,,
46,1089969.889,5773156.1482,1099969.889,5763156.1482,,
47,1089969.889,5763156.1482,1099969.889,5753156.1482,,
48,1089969.889,5753156.1482,1099969.889,5743156.1482,,
49,1089969.889,5743156.1482,1099969.889,5733156.1482,,
50,1089969.889,5733156.1482,1099969.889,5723156.1482,,
51,1089969.889,5723156.1482,1099969.889,5713156.1482,,
52,1089969.889,5713156.1482,1099969.889,5703156.1482,,
53,1089969.889,5703156.1482,1099969.889,5693156.1482,,
54,1089969.889,5693156.1482,1099969.889,5683156.1482,,
55,1089969.889,5683156.1482,1099969.889,5673156.1482,,
56,1089969.889,5673156.1482,1099969.889,5663156.1482,,
57,1089969.889,5663156.1482,1099969.889,5653156.1482,,
58,1089969.889,5653156.1482,1099969.889,5643156.1482,,
59,1089969.889,5643156.1482,1099969.889,5633156.1482,,
60,1089969.889,5633156.1482,1099969.889,5623156.1482,,
61,1089969.889,5623156.1482,1099969.889,5613156.1482,,
62,1089969.889,5613156.1482,1099969.889,5603156.1482,,
63,1089969.889,5603156.1482,1099969.889,5593156.1482,,
64,1089969.889,5593156.1482,1099969.889,5583156.1482,,
65,1089969.889,5583156.1482,1099969.889,5573156.1482,,
